"r no ","ACCESSION_NO","LANG_CODE","పుస్తకం పేరు ","బుక్ నేమ్ ","రచయిత ","పబ్లిషర్ ","PLACE_OF_PUB","PAGINATION","ITEM_RUPEES","YEAR_OF_PUB"
"53","10052","TEL","15 రోజుల్లో సంస్కృతం నేర్చుకుంధామ్ సంస్కృత్","15 ROJULLO SANSKRUTAM NERCHUKUNDAM SANSKRIT","LAKSHMIKANAKA DURGA  PRAKYALA","RUSHI PRACHRANALU","VIJAYAWADA","491.207","120","30"
"54","10053","TEL","18,19 శతాభ్డాలలో వచ్చిన నూతన ఆర్ధిక రాజకీయ పోకడలు ","18 19 SATABDALALO VACCHINA NOOTANA AARDHIKA RAJAKEEYA POKADALU","SESHAN KSN","TELUGU ACADAMI","HYDERABAD","330.954","134","30"
"57","10056","TEL","18 వ్యాసాలు ","18 VYASALU","RANGANADH PURANAPUNDA","LAKSHMI PUBLICATIONS","VIJAYAWADA","894.82724","140","12"
"58","10057","TEL","1857 స్వరాజ్య సంగ్రామం ","1857 SWARAJYA SANGRAMAM","VEERASAVARKAR","NAVABHARATHI PRACHULANALU","HYDERABAD","954.052","236","15"
"61","10060","TEL","1857 విప్లవవీరులు ","1857 VIPLAVAVEERULU","KUTUMBARAO TURLAPATI","SRI MANASA PUBLICATIONS","VIJAYAWADA","920.054","84","13"
"66","10065","TEL","1905 విప్లవం పై ప్రసంగం ","1905 VIPLAVAM PAI PRASANGAM","LENIN V I","VISALANDHRA PUBLISHING HOUSE","VIJAYAWADA","324.244","27","0.75"
"78","10077","TEL","1957 విప్లవవీరులు","1957 VIPLAVAVEERULU","KUTUMBARAO THURLA PATI","SUNDARA RAM PUBLICATIONS","VIAJAYAWADA","920.02","92","5"
"79","10078","TEL","1980 తర్వాత తెలుగు దళిత నవల వ్యాస సంకలనం ","1980 TARVATHA TELUGU DALITHA NAVALA VYASA SANKALANAM","CHANDRASEKHARREDDY RACHAPALEM","CENTER FOR RURAL STUDIES AND DEVEOLPMENT","ANANTHAPURAM","894.827408","113","40"
"81","10080","TEL","1984 మీ యోగ ఫలం ","1984 MI YOGA PHALAM","BRUHASPATHI","JUOTAR ASTROLOGICAL ENTRE","ELURU","133.5","56","3"
"84","10083","TEL","1997 తెలుగు కధ సమీక్షా ","1997 TELUGU KADHA SAMIKSHA","RAMBABU VEDAGIRI","VISHALANDRA BOOK HOUSE","HYDERA BAD","89.32","148","50"
"85","10084","TEL","1999 గంటల పంచగము ","1999 GANTALA PANCHAGAMU","TANGIRALA","GOLLAPUDI VEERASWAMI","RAJAHMUNDRY","133.5","54","15"
"88","10087","TEL","1999 లో కలియుగంతమా ","1999 LO KALIYUGANTHAMA?","DURGA PRASAD DASARI","GOLLAPUDI VEERASWAMI PUBLICATIONS","RAJAMUNDRY","133.54","56","16"
"89","10088","TEL","20 మెస లజ్ఞము ","20 MESA LAGANAMU","DIVAKARUNI VENKATA SUBBA RAO","VENKATESWARA JYOTHISA GRANDAMAALA","మద్రాస్","133.5","69","3"
"90","10089","TEL","20 వ శతాబ్ద విశ్వ సాహిత్య విమర్శ ","20 VA SATABDA VISWASAHITYA VIMARSA","SUBRAMANYAM GV","GVS SAHITHI KALAPITAM","HYDERABAD","894.8271809","96","40"
"92","10091","TEL","20 వ శతాబ్దం లో తెలుగు రచఎత్రల్కు రచనలు ","20 VA SATABDAM LO TELUGU RACHAETRULKA RACHANALU","CHAYADEVI ABBURI","SAHITYA ACADEMI","NEW  DEHLI","808.880904","372","150"
"94","10093","TEL","20వ శతాబ్ది అమెరికాలో మతం ","20 VASATABDI AMERICALO MATAM","SHINIDARHERBARDSVALAS RAMACHANDRA TIRUPATI","ADDEPALLI  AND CO","RAJAMUNDRY","277.3","271","4"
"95","10094","TEL","21 వృసభ లగ్నము ","21 VRUSABHA LAGNAMU","DIVAKARUNI VENKATA SUBBA RAO","VENKATESWARA JYOTHISHA GARANDHAMALA","మద్రాస్","133.5","76","3"
"96","10095","TEL","22 వ్యాసాలు ","22 VYASALU","SURESH","PALLAVI PUBLICAIONS","VIJAYA VADA","089.4827","188","15"
"101","10100","TEL","24 గంటలు ","24 GANTALU","MADHUSRI","VIJAYADURGA PUBLICATIONS","VIJAYAWADA 3","894.82731","212","34"
"102","10101","TEL","25 అంశాల 25 అంకుశాలు ","25 AMSALA 25 ANKUSALU","NADIRA","RACHAITA","HYDERABAD","820.092","496","35"
"106","10105","TEL","2500 ఎమెస్కో క్విజ్జ్ గణిత శాస్త్రము ","2500 EMESCO QUIZ GANITHA SASTRAM","JAYAPRAKASH P","EMESCO ACADEMICS","V IJAYAWADA 2","510.76","227","50"
"109","10108","TEL","264 డిటెక్టివ్","264 DETECTIVE","NAGABHUSHANARAO KAMARAVOLU","KAALAHASTHI THAMMARAO AND SONS","RAJAMAHENDRAVARAMU","894.827314","200","20"
"111","10110","TEL","29 మకర లజ్ఞము ","29 MAKARA LAGNAMU","DIVAKARUNI VENKATA SUBBA RAO","VENKATESWARA JYOTHISHA GARANDHAMALA","మద్రాస్","133.5","80","3.5"
"113","10112","TEL","3 వ తరగతి సి వి మ్యాన్యువల్ ","3 VA TARAGATI CIVIMSAMYANYU L","SUNNRAYUDU MAHAKALI","RAMA  AND CO","ELURU","320.5","122","0.4"
"114","10113","TEL","30 రోజులలో మరాఠి భాష ","30 ROJULALO MARATHI BHASHA","NA SU RA GANATRE","BALAJI PUBLICATIONS","మద్రాస్","891.47","152","6.5"
"115","10114","TEL","30 రోజులలో పంజాబీ భాష ","30 ROJULALO PANJABI BHASHA","NA SU RA GANATRE","BALAJI PUBLICATIONS","మద్రాస్","491.4","152","6"
"116","10115","TEL","30 రోజులలో తమిళ బాష ","30 ROJULALO TAMILA BASHA","కీలత్తూరు శ్రీనివాసాచార్యులు SRINIVASACHARYULU KEELATTURU","BALAJI PUBLISHERS","మద్రాస్","494.81181","185","7.5"
"119","10118","TEL","30 రోజుల్లో హింది బాష  ","30 ROJULLO HINDI BASHA","కీలత్తూరు శ్రీనివాసాచార్యులు SRINIVASACHARYULU KEELATTURU","BALAJI PUBLISHERS","మద్రాస్","491.43","153","7"
"120","10119","TEL","300 కార్టూన్లు ","300 CARTOONLU","MALLIKA","VISHALANDRA BOOK HOUSE","HYDERA BAD","741.5","158","35"
"121","10120","TEL","31 డిసెంబర్ 199999","31 DECEMBER 199999","NANDI N R","PALLAVI PUBLICATION","VIJAYA WADA","894.82731","296","20"
"123","10122","TEL","32 మీనా లగ్నము ","32 MEENA LAGNAMU","DIVAKARUNI VENKATA SUBBA RAO","VENKATESWARA JYOTHI  GRANDHALAYAM","మద్రాస్","133.5","80","3.5"
"125","10124","TEL","420 మెగాసిటి","420 MEGACITY","SAI YARAMSETTI","VIJAYA SARADHI PUBLICATIONS","VIJAYAWADA 10","894.82731","240","36"
"126","10125","TEL","5 నిముషాల్లో ఆరోగ్యం ","5 NIMUSHALLO AROGYAM","KRISHNAREDDY","MKR PUBLICAITONS","VIJAYA VADA","615.53232","96","30"
"127","10126","TEL","5 సంవత్సరాల నిరుద్యోగ నిర్మూలన దరిద్రయా నిర్మూలన ","5 SAMVATSARALALO NIRUDYOGA NIRMULANA DARIDRAYA NIRMULANA","CHEENIYA NAYAK .B","LAXMIBAYAI CHINIYA NAYAK PUBLICATIONS","ANANTAPURAM","364.26","195","120"
"129","10128","TEL","501 నమ్మలేని నిజాలు ","501 NAMMALENI NIJALU","వెంకటశాస్త్రి VENKATASASTRI MAJETI","PUSTAK  MAHAL","DELHI","001","104","12"
"132","10131","TEL","66 సర్ధార్ పటేల్ రోడ్ ","69 SARDHAR PATEL ROAD","యర్రంసెట్టి సాయి SAI YARRAMSETTY","GURU PUBLICATIONS","VIJAYAWADA","894.82731","308","40"
"133","10132","TEL","6 వ నెంబర్ బస్ స్టాప్ ","6VA NUMBER BUS STOP","AMAREESWARA RAO G V","GURU PUBLICATIONS","V IJAYAWADA","894.82731","304","36"
"134","10133","TEL","71 సైన్స్ ఏక్సిబిషన్ ","71 SCIENCE EXIBISTION","SARVఈశ్వరరావు ESWARARAO CV","RUSHI PRACHRANALU","VIJAYAWADA","530","80","25"
"136","10135","TEL","74 పండ్ల తూ ప క్రీ  విశాఖ జిల్లాల శెట్టి బలజ సంఘం ఒక పరిశీలన ","74 PANDLA THU PA KRI VISHAKA JILLALA SETTI BALIJA SANGAM OKA PARISEELANA","DOMMETI","DOMMETI SATYANARAYANA","KAKINADA","305.6072","40","10"
"137","10136","TEL","745 శ్లోకాల ప్రాచీన భాగ్వత్ గీత ","745 SLOKALA PRACHINA BHAGVADH GEETHA","VADAVYAS","YUGA MITRA MANDALI","HYDERABAD","894.82712","197","116"
"141","10140","TEL","8 డౌన్ ","8 DOWN","SAI  YEERASETTY","JP PUBLICATIONS","VIJAYA WADA","894.82731","288","30"
"142","10141","TEL","ఆ అనుభవం కావాలి ","A ANUBHAVAM KAVALI","MOHAN KUMAR V","SARADA PUBLISHING HOUSE","VIJAYA WADA","894.82731","204","16"
"143","10142","TEL","ఆ గోడకు ఒక కిటికీ ఉండేది ","A GODAKU OKA KITIKI UNDEDI","VINODKUMAR SUKLA","SAHITYA  ACADAMY","NEW DELHI","894","192","100"
"144","10143","TEL","ఏ కే 47 ","A K 47","HARSHAVARDHAN CHANDU","MADHULATHA PUBLICATIONS","VIJAYAWADA 2","894.82731","216","32"
"146","10145","TEL","ఆ ఎన్ మూర్తి రావు","A N MUTHIRAO","B N SRIKANTAYYA","BARATIYA SATHITYA NIRMATALU","NEW  DELHI","928.94814","78","2"
"147","10146","TEL","ఆ రాత్రి ","A RATREI","చలం CHALAM","అరుణ పబ్లిషింగ్ హౌస్, విజయవాడ ","VIJAYA VADA","894.82732","136","15"
"149","10148","TEL","ఆ రాత్రి కామ్ ","A RATRI COME","RUDRASRI","ANDHRA VISWA SAHITHI","SECUNDERABAD","894.82718","90","2"
"150","10149","TEL","ఆ రోజు ","A ROJU","RANGACHARYULU VANGALA","RACHAITA","ADILABAD","894.82719","68","6"
"153","10152","TEL","ఆ సాప్త్వరే ఎలా పనిచేస్తుంది ","A SAAPTWARE ELA PANICHESTUNDI","SREEDHAR NALLIMOTHU","BANDLA     PUBLICATIONS","HYDEABAD","001.64","64","39"
"154","10153","TEL","ఏ స్త్రేంజర్ ఇన్ థి  మిర్రర్ ","A STRANGER IN THE MIRROR","SIDNEY SHELDON","KUMAR PUBLICATION","VIJAYA WADA","823","360","30"
"156","10155","TEL","ఆ తప్పు నీది కాదు ","A TAPPU NEEDI KADU","SATYAVATHI   P","EMSCO ARSHA BHARATI","MACHILIPATNAM","894.82731","159","6"
"159","10158","TEL","A TO Z ఫ్యాషన్ డిజైనింగ్ ","A TO Z FASHION DESIGNING","SHIVAKUMAR ADHELLA","RUSHI PRACHURANALU","VIJAYA WADA","746.92","204","100"
"160","10159","TEL","ఏ టు జెడ్ ఇంటర్నెట్ తెలుగు","A TO Z INTERNET TELUGU","KIRANKUMAR K","SAI SHIVA PUBLICATIONS","HYDERABAD 37","001.64404","173","100"
"165","10164","TEL","ఏ టు జెడ్ పర్సనాలిటీ డెవలప్మెంట్ ","A TO Z PERSONALITY DEVELOPMENT","SAILABALA KALLURI","OM PUBLICATIONS","HYDERA BAD","158.1","199","60"
"175","10174","TEL","ఆ వెన్నెల రాత్రి ","A VENNELA RATRI","GANAPATHIRAO KOMMANAPALI","GURU PUBLICATIONS","VIJAYAWADA","894.827313","296","40"
"177","10176","TEL","AP లోకాయుక్త మరియు ఉపలోకాయుక్త చట్టము ","A.P.LOKAYUKTHA MARIYU UPALOKAYUKTHA CHATTAMU","SATYANARAYANA PENDYALA","SNEHALA HOUSE","HYDERABAD","340.5","51","50"
"183","10182","TEL","AP టూరిస్ట్ గైడ్  ","A.P.TOURIST GUIDE","VAJRAPANI","BHARANI PUBLICATIONS","VIAJAYAWADA","910.202","95","25"
"185","10184","TEL","ఆ దీర్ఘమౌనం ","AA DEERGHAMAUNAM","SASIDEV PANDE","SAHITYA  ACADAMY","NEW DELHI","894","229","80"
"190","10189","TEL","ఆ రాత్రి ","AA RATHRI","చలం CHALAM","SRI RAMANASTHAN PUBLICATIONS","TIRUVANANTHAPURAM","894.32","208","4"
"192","10191","TEL","ఆచారి అమెరికా యాత్ర ","AACHARI AMERICA YATRA","NARAYANARAO DASARI","GURU PUBLICATIONS","V IJAYAWADA","894.82731","264","25"
"195","10194","TEL","ఆచార్య అమెరికా యాత్ర ","AACHARYA AMERICA YATRA","NARAYANARAO DASARI","GURU PUBLICATIONS","V IJAYAWADA","894.82731","354","25"
"196","10195","TEL","ఆచార్య వినోబా ","AACHARYA వినోబా VINOBA","SURYANARAYANA MURTHY JOSYALA","GANDHEYA SAMAJA SEVASAMSTHA","HYDERABAD","923.254","212","10"
"198","10198","TEL","ఆచూకీ సేవా సమాచార వనరులు ","AACHUKI SEVA SAMACHARA VANARULU","VIJAY KUMAR PATHOORI","SRI HARSHA PUBLICATIONS","GUNTUR 2","025.52","136","35"
"200","10200","TEL","ఆదర్శ వనితలు ","AADARSA VANITHALU","DAJGHALA BK","DUNJARA BOOK CENTRE","VIJAYAWADA","920.720","36","6"
"203","10203","TEL","ఆధార్సాంధ్రులు","AADHARSANDHRULU","VENKATA SAMI NAIDU SIDHAMSETTI","ADHVEPALLI AND CO","RAJA MAHENDRAVARAMU","920.054","100","0.14"
"204","10204","TEL","ఆధి భారతం","AADHI BHARATHAM","B R AMBEDKAR","DR AMBEDKAR PUBLICATIONS","NELLORE","305.8954","200","15"
"205","10205","TEL","ఆది పర్వము","AADHI PARVAMU","NANNAYA BHATTA","VELURU","CHENNA PURI","294.5923","92","1"
"206","10206","TEL","ఆధునిక భారత దేశం (1885-1947) ","AADHUNIKA BHARATA DESAM (1885-1947)","SARCAR SUMIR","PRAJASAKHIT BOOK HOUSE","HYDEABAD","954","378","150"
"207","10207","TEL","ఆధునిక చైనా దేశ చరిత్ర ","AADHUNIKA CHAINA DESA CHARITHRA","MUTHYALA NAIDU","TELUG AKADAMI","HYDERA BAD","951.04","236","41"
"210","10210","TEL","ఆధునిక చైనా దేశ చరిత్ర ","AADHUNIKA CHAINA DESA CHARITRA","MUTYALAYYANAIDU CH","TELUGU ACADAMY","HYDERA BAD","951.04","326","41"
"211","10211","TEL","ఆధునిక తెలుగు సాహిత్యంలో విభిన్న ధోరణులు ","AADHUNIKA TELUGU SAHITYAMLO VIBHINNA DHORANULU","RANGANADHACHARYULU K K","ANDHRA SAARASWATHA PARISHAT","HYDERABAD","894.827508","244","10"
"216","10216","TEL","ఆధునిక వ్యవహార కోసల ","AADHUNIKA VYAVAHARAKOSALA","రాధా RADHAKRISHNA BUDARAJU","PRACHEE PUBLICATIONS","HYDERABAD","423","279","100"
"219","10219","TEL","ఆధునిక యుగారంభంలో సాహితీ కలహాలు ","AADHUNIKA YUGARAMBHAMLO SAHITHI KALAHAALU","LAKSHMINARAYANA GUNDAVARAPU","PALAKSHA PRACHURANALU","GUNTUR","894.827092","44","15"
"221","10221","TEL","ఆధునిక యుగారంభంలో సాహితీ కలహాలు ","AADHUNIKA YUGARAMBHAMLO SAHITHI KALAHALU","LAKSHMINARAYANA GUNDAVARAPU","PALAKSHA PRACHURANALU","GUNTUR","894.827092","44","15"
"222","10222","TEL","ఆధునికాంద్ర కవితా తత్త్వము ","AADHUNIKAANDRA KAVITA TATTVAMU","LALITAKUMARI D","RACHAITRI","VISAKHAPATNAM","894.8271072","368","60"
"223","10223","TEL","ఆదిభట్ల నారాయణ దాస జీవిత చరిత్రము ","AADIBHATLA NARAYNA DASA JIVITHA CHARITRAMU","VENKATACHAYANULU MARUVADA","KONDAPALLI VEERA VANKAYYA","RAJAMANDRY","927.8","290","3"
"224","10224","TEL","ఆదిర్ఘ మౌనం ","AADIRGHA MOUNAM","SASIDES PANDE","SAHITYA ACADEMI","NEW  DEHLI","823.802","229","85"
"238","10238","TEL","ఆధునిక ఆంధ్ర ప్రదేశ్ చరిత్ర ","AADUNIKA ANDHRA PRADESH CHARITRA","RAGHUNADRAO C","STERLING  PUBLISHERS","NEW  DELHI 16","954.84","361","50"
"239","10239","TEL","ఆదునిక ఆంధ్ర ప్రదేశ్ చరిత్ర 1857-1957 ","AADUNIKA ANDHRA PRADESH CHARITRA 1857-1957","SAMBASIVARA RAO K","VENKATESWARA PUBLICATIONS","V IJAYAWADA","954.84","418","40"
"240","10240","TEL","ఆదునిక బారాతలు","AADUNIKA BAARATHALU","RAHUL","KARUNA PUBLICATIIONS","KRISHNA DIST","320","44","7"
"242","10242","TEL","ఆదునిక భారత చరిత్ర ","AADUNIKA BHARATA CHARITRA","VAIDAEHI ALLADI","TELUGU  AKADMI","HYDERA BAD","954","332","17.5"
"249","10249","TEL","ఆదునిక భారత రాజకీయాలు","AADUNIKA BHARATHA RAJAKEEYALU","SESHAYYA  RAYIIDI","TECHNICAL PUBLISHERS","GUNTUR","320.954076","440","21"
"250","10250","TEL","ఆదునిక భారతీయ సమాజంలో విద్యా ఉపద్యయులు ","AADUNIKA BHARATIYA SAMAJAMLO VIDYA UPADYAYULU","RAMESH GANTA","NEEL KAMAL PUBLICATIONS","HYDERABAD","370.7","480","110"
"251","10251","TEL","ఆదునిక బౌతిక రసాయనిక గణిత పట్టికలు ","AADUNIKA BOUTHIKA RASAYANAKA GANITHA PATTIKALU","GUPTA P C AND SARMA D V","VIKRAMA PUBLISHERS","V IJAYAWADA","530.15","106","4"
"252","10252","TEL","ఆదునిక ఇరోపా చరిత్ర","AADUNIKA IOROPA CHARITRA","SAMBASIVARAO K","TECHNICAL PUBLISHERS","GUNTUR","940.2","398","21"
"253","10253","TEL","ఆదునిక ప్రభుత్వాలు ","AADUNIKA PRABUTWALU","SESHAYA RAYANDI","TECHNICAL PUBLISHERS","GUNTUR 3","320.4","402","12"
"255","10255","TEL","ఆదునిక తెలుగు నాటకం 1 బా","AADUNIKA TELUGU NAATAKAM","SUBBARAMIREDDY GUNDAVARAKU","PRAVEEN PUBLISHIONS","SECENDRABAD","894.8272101","271","75"
"258","10258","TEL","ఆదునిక తెలుగు నాటకం 2 బా","AADUNIKA TELUGU NAATAKAM 2 BAA","SUBBARAMEREDDY GUNDAVARAPU","PRAVEEN PUBLICATIONS","SECENDRABAD","894.8272101","256","75"
"259","10259","TEL","ఆదునిక విజ్ఞాన శాస్త్రము ","AADUNIKA VIGNANA SASTRAMU","NS PRASADA MURTHY","JANATHA PUBLICATIONS","TENALI","507","296","6"
"260","10260","TEL","ఆదునిక విజ్ఞ్యాన జ్యోతి ","AADUNIKA VIGNAYANA JYOTHI","RAMAKRISHNA VV","BALANADA PRACHURANALU","V IJAYAWADA","500","40","6"
"263","10263","TEL","ఆదునికశాస్త్ర విజ్ఞ్యానమ్ ","AADUNIKASASTRA VIGNYANAM","రాధా RADHAKRISHNAMURTHY JONALAGADA","NAVARATNA BOOK CENTER","V IJAYAWADA","894.827500","80","10"
"269","10269","TEL","ఆధ్యంతలు అంతర్యాలు ","AADYANTALU ANTHARYALU","VASUBABU","BHAVANI BOOKS","KAKINADA","894.827","246","7.5"
"271","10271","TEL","ఆగమనం ","AAGAMANAM","యద్దనపూడి సులోచనరాణి SULOCAHANA RANI YUDDANPUDI","QUALITY   PUBLISHERS","VIJYAWADA","894.82731","320","30"
"273","10273","TEL","ఆగంతిక ","AAGANTHIKA","SAILAKUMAR","GURU PUBLICATIONS","V IJAYAWADA","894.82731","260","32"
"274","10274","TEL","ఆగస్త్య మహర్షి","AAGASTHYA MAHARSHI","NARASIMHAN MR","BHARATHA BHARATH PUSTHAKAMALA","HYDEARABAD","894.827121","40","8"
"276","10276","TEL","ఆజ్ఞయత సంగ్రామం ","AAGNAYATA SANGRAMAM","SURESH MUDDA","J P PUBLICATIONS","V IJAYAWADA","894.82731","324","34"
"279","10279","TEL","ఆహారము ఆరోగ్యము ","AAHARAMU AAROGYAMU","SATYNARAYII JYOSYABHATLA","THE BOMBAY HOMEOPATHI LEEG","BOMBAY","181.487","26","0.1"
"281","10281","TEL","ఆయిశాజనక వ్యాయామము ఆరోగ్యము ","AAISAJANAKA VYAYAMAMU AROGYAMU","YOGASRI","YOGASRI YOGA PRA SIKSHANA KENDRAM","GUNTUR JILLA","613-","68","6"
"284","10284","TEL","ఆకలి కేకలు ","AAKALI KEKALU","RAJAGOPALARAO J","JANAPADA VIGNANA KENDRAM","HYDERA BAD","894.82718","80","15"
"285","10285","TEL","ఆకరి మలపు ","AAKARI MALAPU","BASKAR MAINAPATI","VIJAYSARADHI PUBLICATION","V IJAYAWADA","894.82731","288","36"
"287","10287","TEL","ఆకారిపోరాటం ","AAKARIPORATAM","VEEREBDRANATH YANDAMURI","NAVABAHARAHA BOOK HOUSE","V IJAYAWADA","894.82731","368","36"
"288","10288","TEL","ఆకాశ యానాం ","AAKASA YANAM","HARSHAVARDAN S","NAVARATNA BOOK CENTER","V IJAYAWADA","629.4","76","12"
