LANG_CODE,పుస్తకం పేరు,బుక్ నేమ్,రచయిత,పబ్లిషర్,PLACE_OF_PUB,PAGINATION,ITEM_RUPEES,YEAR_OF_PUB,BINDING,ISBN,References
TEL,శ్రీ దాయశాతకము (మూడవ బాగం) 41-50,SRI DAYASATAKAMU (MUDAVA BAAGAM),VENKATANADHA,2 LAKSHMIPURAM,మద్రాస్,894,183,,,,https://manjulindia.com/telugu.html
TEL,గోరువంకలు,GORUVANKALU,BALAGANGADARA TILAK,42 TUDOR GARDEN STONEY STRET ROAD,UK,894,55,1952,,,https://manjulindia.com/telugu.html
TEL,శ్రుజ్ఞ రామజ్జరి భనహా,SRUGNA RAMAJJARIBHANAHA,GOPALARAYAKAVI JANAMPALLI,A ABDULLA,NEW DELHI,891,119,,,,https://manjulindia.com/telugu.html
TEL,శ్రీ శ్రీ కవిత ప్రస్థానం,శ్రీ శ్రీ SRI SRI KAVITHA PRASTHANAM,రామమోహన్ RAMAMOHANRAO ADDEPALLI,A ANNAPURNA PURAMVANI ST,KAKINADA 2,894,113,,,,https://manjulindia.com/telugu.html
TEL,గోదావరి న ప్రతి బింబము,GODAVARI NA PRATHIBIMBAMU,రామమోహన్ RAMAMOHANRAO ADDEPALLI,A ANNAPURNA PURAVONI ST,KAKINADA 2,894,61,1959,,,https://manjulindia.com/telugu.html
TEL,హిష్టారికల్ అట్లాస్,HISHTARIKAL ATLAS,హనుమంతరావు HANUMANTARAO MUPPALLA,A B S PUBLISHERS,RAJAHMUNDRY,911,102,,,,https://manjulindia.com/telugu.html
TEL,బసవ రాజీయమ్,BASAVA RAJEEYAM,SURYANARYANA PAMPNA,A B S PUBLISHERS,RAJAHMUNDRY,615,122,,,,https://manjulindia.com/telugu.html
TEL,వస్తు గుణ దీపిక,VASTHU GUNA DEEPIKA,VENKATASWAMI ERRA,A B S PUBLISHERS,RAJAHMUNDRY,615,1143,,,,https://manjulindia.com/telugu.html
TEL,ప్రాధమిక జ్యోతిష్యము,Pరాధా RADHAMIKA JYOTISHYAMU,సిద్ధాంతం సత్యనారాయణ SATYANARAYANA SIDDANTHI M,A G PUBLICATIONS,TENALI,133,109,,,,https://manjulindia.com/telugu.html
TEL,సంపూర్ణ రామాయణం (నాటకం),SAMPURNA RAMAYANAM (NATAKAM),KRISHNAMUNI,A K V PRASADA RAO,RAJAHMUNDY,894,116,,,,https://manjulindia.com/telugu.html
TEL,నాయని సుబ్బారావు కృతులు పరిశీలన,NAYANI SUBBARAO KRUTULU PARISILANA,BHUMAYYA ANUMACHARLA,A LAKSHMI MURALIDHARAN,HANUMAKONDA,894,288,,,,https://manjulindia.com/telugu.html
TEL,శ్రీ సాయిలీల గుచ్ఛం,SRI SAILEELA GUCCHAM,SAHAYACHARI NM,A MOHANARAO,GUNTUR,894,324,,,,https://manjulindia.com/telugu.html
TEL,రేఖా చిత్రాలు,REKHA CHITRALU,S V,A P ABHYUDAYA RACHAYITALA SANGHAM,HYDERA BAD,894,120,,,,https://manjulindia.com/telugu.html
TEL,ఆంధ్రప్రదేశ్లో విద్యుచర్తి,ANDHRAPRADESHLO VIDYUCHRTHI,RAMACHANDRARAO AYYULA SOMAYAJULU,A P ACADEMY AND SONS,HYDEABAD,537,40,1932,,,https://manjulindia.com/telugu.html
TEL,అమరజీవి పొట్టి శ్రీ రాములు,AMARAJEEVI POTTI SRI RAMULU,RANGANADHA PURANAPANDA,A P BOOK DISTRIBUTORS,V IJAYAWADA,923,10,1891,,,https://manjulindia.com/telugu.html
TEL,వీణవంక,VEENAVANKA,KANAKAYYA GUNDEDAPPU,A P DALITHA RESEARCH CENTER,`HYDERABAD,894,38,1924,,,https://manjulindia.com/telugu.html
TEL,కడుపుమీద కొట్టకండి,KADUPUMEDA KOTTAKANDI,KANAKAYYA GUNDEDAPPU,A P DALITHA RESEARCH CENTER,HYDERA BAD,894,65,1975,,,https://manjulindia.com/telugu.html
TEL,గీతా గోవిందము,GEETA GOVINDAMU,JAYADEVA,A P ORIENTALMANU TRUST,HYDEABAD,891,101,,,,https://manjulindia.com/telugu.html
TEL,సింహగిరి వచనములు,SIMHAGIRI VACHANAMULU,KRISHNAMACHARYA,A P SAAHITYA ACADEMY,HYDERABAD,894,48,1940,,,https://manjulindia.com/telugu.html
TEL,కృష్ణరాయ విజయము,KRISHNARAYA VIJAYAMU,KUMARA DHURJATI,A P SAAHITYA ACADEMY,HYDERABAD,894,107,,,,https://manjulindia.com/telugu.html
TEL,రామవాచకము,RAMAVACHAKAMU,RAMACHANDRARAO C V,A P SAAHITYA ACADEMY,HYDERABAD,894,107,,,,https://manjulindia.com/telugu.html
TEL,చంద్రికా పరిణయము,CHANDRIKA PARINAYAMU,MADHAVARAYA SURABHI,A P SAAHITYA ACADEMY,HYDERABAD,894,231,,,,https://manjulindia.com/telugu.html
TEL,శ్రీ రంగ మహత్యము,SRI RANGA MAHATHYAMU,BHAIRAVA KAVI,A P SAAHITYA ACADEMY,HYDERABAD,894,263,,,,https://manjulindia.com/telugu.html
TEL,తాలకనందిని పరిణయము,THALAKA NANDINI PARINAYAMU,VENKATANARASIMHACHARYA ASURIMARIMGANTI,A P SAAHITYA ACADEMY,HYDERABAD,894,389,,,,https://manjulindia.com/telugu.html
TEL,శ్రీ హర్ష నైషదము,SRI HARSHA NAISHADAMU,SUBBARAMA SASTRI UDALI,A P SAAHITYA ACADEMY,HYDERABAD,891,463,,,,https://manjulindia.com/telugu.html
TEL,ఆంధ్రుల జానపద విజ్ఞానం,ANDHRULA JANAPADA VIGNANAM,SUNDARAM RVS,A P SAAHITYA ACADEMY,HYDERABAD,398,532,,,,https://manjulindia.com/telugu.html
TEL,ఆంధ్రుల జానపద విజ్ఞానం,ANDHRULA JANAPADHA VIGNANAM,SUNDARAM RVS,A P SAAHITYA ACADEMY,HYDERABAD,398,532,,,,https://manjulindia.com/telugu.html
TEL,జాతక కధలు,JATHAKA KADHALU,SIVASANKARASASTRI,A P SAAHITYA ACADEMY,HYDERABAD,294,316,,,,https://manjulindia.com/telugu.html
TEL,ఆధునిక భాష శాస్త్ర సిద్దంతాలు,ADHUNIKA BHASHA SASTRA SIDDANTHAALU,SUBRAMANYAM P S,A P SAHITHYA ACADAMY,HYDERABAD,894,352,,,,https://manjulindia.com/telugu.html
TEL,శరత్ చంద్ర చటర్జీ,SHARATH CHANDRA CHATARJI,SUBRAHAMANYASHARMA PURANAM,A P SAHITYA ACADAMI,HYDRABAD,491,25,1913,,,https://manjulindia.com/telugu.html
TEL,కవి బ్రహ్మ,KAVI BHRAHMA,SHESAGIRI RAO PUVVADA,A P SAHITYA ACADAMI,HYDERA BAD,894,31,1916,,,https://manjulindia.com/telugu.html
TEL,తెలుగు వైతాళికులు,TELUGU VAITALIKULU,RANAGANADHACHARYULU K,A P SAHITYA ACADAMI,HYDERA BAD,894,179,,,,https://manjulindia.com/telugu.html
TEL,మన మతములు సంప్రదాయములు,MANA MATAMULU SAMPRADAYAMULU,RAMACHANDRUDU PULLELA,A P SAHITYA ACADAMI,HYDERABAD,294,65,,,,https://manjulindia.com/telugu.html
TEL,తెలుగు వారి సంస్కృత బాష సేవా,TELUGU VAARI SAMSKRUTA BASHA SEVA,శ్రీరామమూర్తి SRIRAMAMURTHI P,A P SAHITYA ACADEMY,HYDEABAD,891,49,1945,,,https://manjulindia.com/telugu.html
TEL,మానవల్లి కవి రచనలు,MANAVALLI KAVI RACHANALU,VENKATARAO NADELLA,A P SAHITYA ACADEMY,HYDERA BAD,894,555,,,,https://manjulindia.com/telugu.html
TEL,తెలుగు నిఘంటువు,TELUGU NIGHANTUVU,REDDY GS,A P SAHITYA ACADEMY,HYDEABAD,894,854,,,,https://manjulindia.com/telugu.html
TEL,ముట్నూరి కృష్ణ రావు వ్యాసాలు,MUTNURI KRISHNARAO VYASAMU,VENKATASATYANARAYANARAO RAVURI,A P SAHITYA ACADEMY,HYDRABAD,70,366,,,,https://manjulindia.com/telugu.html
TEL,తెలుగు కవిత వికాసం,TELUGU KAVITHA VIKASAM,రామమోహన్ RAMAMOHANRAO KADIYALA,A P SARASWATA PARISHATHU,HYDERABAD,894,409,,,,https://manjulindia.com/telugu.html
TEL,భూమికోసం నీటికోసం,BHUMI KOSAM NEETI KOSAM,PANDARI NADH A,A PANDAREENATH,HYDERABAD,,274,,,,https://manjulindia.com/telugu.html
TEL,కార్గిల్ సమరం,KARGIL SAMARAM,PANDARINADH A,A PANDARINADH,HYDERABAD,954,210,,,,https://manjulindia.com/telugu.html
TEL,ఉగ్రవాధం,UGRAVADHAM,PANDARINADH,A PANDARINADH,HYDERABAD 70,303,328,,,,https://manjulindia.com/telugu.html
TEL,ఆంధ్రప్రదేశ్ సంపూర్ణ సచిత్ర మార్గదర్శి,ANDHRAPRADESH SAMPURNA SACHITRA MARGADARSI,KUMAR AMMAVARSH,A PRASNMUKA,SATHUPALLI,954,381,,,,https://manjulindia.com/telugu.html
TEL,ఆంధ్రప్రదేశ్ సంపూర్ణ సచిత్ర మార్గదర్శి,ANDHRA PRADESH SAMPURNA SACHITRA MARGADARSI,KUMAR AMMAVAEHS,A PRASNNA,SATHHUPALLLI,954,381,,,,https://manjulindia.com/telugu.html
TEL,ఇంటర్నెట్ తెలుగులో,INTERNET TELUGULO,శ్రీనాథుడు SRI NADHUDU,A RAMADEVI,V IJAYAWADA,,90,,,,https://manjulindia.com/telugu.html
TEL,హిత సంహిత,HITA SAMHITA,RAMALINGASWAMI ANANTAM,A RAMALINGASWAMI,PARVATHIPURAM,894,54,1950,,,https://manjulindia.com/telugu.html
TEL,పాల్కురికి సోమనాధుని పండితారాధ్య చరిత్ర,PALKURIKI SOMANADHUNI PANDITHARADHYA CHARITHRA,RAMAPATI RAO AKKIRAJU,A RAMAPATI RAO,HYDERABAD,,206,,,,https://manjulindia.com/telugu.html
TEL,దత్తా నాడి ద్వితీయ స్కంధం,DATTA NADI DWITIYA SKAMDHAM,SUBBARAO ALLA,A S RAO AND CO,GUNTUR 1,133,355,,,,https://manjulindia.com/telugu.html
TEL,గ్రహ సంహిత,GRAHA SANHITA,SUBBARAO ALLA,A S RAO AND CO,GUNTUR 1,133,384,,,,https://manjulindia.com/telugu.html
TEL,దత్తా నాడి ప్రధమ స్కంధం,DATTA NADI Pరాధా RADHAMA SKAMDHAM,SUBBARAO ALLA,A S RAO AND CO,GUNTUR 1,133,432,,,,https://manjulindia.com/telugu.html
TEL,సజీవ శిల్పాలు,SAJEEVA SILPAALU,VENKATASUBBAYYA APPAJODU,A SAROJANIDEVI,KURNOOL,294,257,,,,https://manjulindia.com/telugu.html
TEL,మహాభారతము- మానవ స్వభావ చిత్రణ,MAHABHARATAMU-MANAVASWABHAVA CHITRANA,VENKATASUBBAYYA APPAJODU,A SAROJINI DEVI,GOODURU,894,449,,,,https://manjulindia.com/telugu.html
TEL,జీవన చిత్రాలు,JEEVANA CHITRALU,VENKATASUBBAYYA APPAJODU,A SAROJINI DEVI,KURNOOL,294,381,,,,https://manjulindia.com/telugu.html
TEL,వివిద భారతీయ భాషలలొరామాయణము,VIVIDHA BHARATEEYA BHASHALALO RAMAYANAMU,MALAYA VASINI,A SESHAGIRIRAO,VISAKHAPATNAM,294,566,,,,https://manjulindia.com/telugu.html
TEL,సాయిబాబా నాటకం (సంపూర్ణ జీవితం ),SAIBABA NATAKAM (SAMPURNA JEEVITHAM),KANAKARAJU A V,A V KANAKARAJU,HYDERA BAD,894,36,1922,,,https://manjulindia.com/telugu.html
TEL,బృందావనము,BRUNDAVANAMU,మాధవపెద్ద బుచ్చిసుందర రామశాస్త్రి BUCHISUNDARA RAMASASTRI MADHAVAPEDDA,A V RAM AND CO,NARSAPURAM,894,49,1945,,,https://manjulindia.com/telugu.html
TEL,గ్రంధాలయ సూక్తులు,Gరాధా RADHALAYA SUKTHULU,నాలం కృష్ణారావు KRISHNARAO NAALAM,"A V లక్ష్మినారాయణ, రాజమండ్రి",RAJAHMUNDRY,894,20,1910,,,https://manjulindia.com/telugu.html
TEL,పెన్నిది,PENNIDI,VARADARAJAN A,A VARADARAJAN,CHITTUR,894,112,,,,https://manjulindia.com/telugu.html
TEL,రమణప్రసాద్ పరిశోధన వ్యాసాలు,RAMANAPRASAD PARISODHANA VYASALU,RAMANAPRASAD,A VASUDEVAMURHTI,KOVVURU,894,84,2013,,MANIMN2401,https://manjulindia.com/telugu.html
TEL,రమణప్రసాద్ రచనలు,RAMANAPRASAD RACHANALU,RAMANAPRASAD,A VASUDEVAMURTHI,KOVVURU,894,54,1950,,,https://manjulindia.com/telugu.html
TEL,విదులు,VUDULU,అకుండి వ్యాసమూర్తి శాస్త్రి VYASAMURTHI SASTRI AKUNDI,A VENKATA SASTRI,TIRUPATHI,294,13,,,,https://manjulindia.com/telugu.html
TEL,జరాప మృత్యు హరణము,JARAPA MRUTYU HARANAMU,VENKATASUBBARAO ALLAMRAJU,A VENKATA SUBBARAO,KROTTAPALLI,894,40,1929,,,https://manjulindia.com/telugu.html
TEL,శ్రీ వేదాంత పంచదశి సరసంగ్రహం,SRI VEDANTA PANCHADASI SARA SANGRAHAM,VIDYARANYA,A VENKATASOMACHRYULU,KOVVURU,181,201,,,,https://manjulindia.com/telugu.html
TEL,మహా తపస్వి,MAHA TAPASVI,MAITRAVARUNA,A VIDULADEVI,V IJAYAWADA,928,373,,,,https://manjulindia.com/telugu.html
TEL,హిమాని,HIMANI,SEETHARAMASWAMY DIGUMARTHI,AACHARYA TANGIRALA VENKATASUBBARAO,BANGALORE,894,50,1946,,,https://manjulindia.com/telugu.html
TEL,బిందుగారబ్భాయి,BINDHUGAARABBAI,SARAT,AADARSA GRANDA MANDALI,VIJAYAWADA,894,99,,,,https://manjulindia.com/telugu.html
TEL,రుద్రమ దేవి,RUDRAMA DEVI,నారి నరసింహశాస్త్రి NARASIMHASASTRI NARI,AADARSA VIDYA MANDALI,TENALI,894,112,,,,https://manjulindia.com/telugu.html
TEL,అనుమానం,ANUMAANAM,TAALSTOI,AADARSAGRANDHA MANDALI,VIJAYAWADA,894,188,,,,https://manjulindia.com/telugu.html
TEL,నానా,NAANAA,ANU RAAMADASU BELLAMKONDA,AADARSAGRANDHA MANDALI,VIAJAYAWADA,894,242,,,,https://manjulindia.com/telugu.html
TEL,డోరియన్ గ్రే,DORIAN GRAE,బెల్లంకొండ రామదాసు RAMADASU BELLAMKONDA,AADARSHA GRANDA MANDALI,VIJAYA WADA,894,362,,,,https://manjulindia.com/telugu.html
TEL,కధవాహిని 11,KADHAVAHINI 11,మదీంధ్ర కుమార్ KUMAR MADEENDHINRA,AADHARSA GRANDHAMANDALI,VIJAYA VADA,894,96,,,,https://manjulindia.com/telugu.html
TEL,వెల్లువలో పూచిక పుల్లలు,VELLUVALOO PUUCHIKA PULLALU,KRISHNAARAO BHASKARABATLA,AADHUNIIKA GRANDHA MANDALI,HYDEARABAD,894,210,,,,https://manjulindia.com/telugu.html
TEL,జగజ్జ్యోతి,JAGAJJYOTHI,NARAYANADASU AADIBATLA,AADIBATLA NARAYANADASU AYUDRIKA GRANDALYAM PRACHURINA SANGAM,VIJAYANAGARAM,894,487,,,,https://manjulindia.com/telugu.html
TEL,బాటసారి,BAATASAARI,NARAYANADAS ADHIBATTA,AADIBATLA NARAYANADASU AYUDRIKASANGAM,VIJAYANAGARAM,894,43,1934,,,https://manjulindia.com/telugu.html
TEL,పార్వతీకళ్యాణము,PARVATHEE KALYANAMU,పురాణపండ రామమూర్తి RAMAMURTHI PURANAPANDA,AADYATHMA PRACHARA SANGHAMU,RAJAMANDRY,294,124,,,,https://manjulindia.com/telugu.html
TEL,మరపురాణి మొర,MARAPURANI MANISHI,RAAMACHANDRA TIRUMALA,AAJOO VIBHA PRACHAARANALU,HYDEARABAD,928,252,,,,https://manjulindia.com/telugu.html
TEL,మాఘపురాణం,MAGHAPURANAM,RAJAMACHARYULU DEVAGIRI,AAKULA SURYANARAYANA,RAJAHMUNDRY,294,96,,,,https://manjulindia.com/telugu.html
TEL,ప్రత్యక్ష రామాయణం ప్రదమబాగం ప్రత్యక్ష ఆత్మనుబుతి రామాయణం,PRATYAKSHA RAMAYANAM PRADAMA BAAGAMU PRATYAKSHA AATMANUBUTHI RAMAYANAM,SURYANARAYANA SASTRI AAKUNDI,AAKUNDI GOPALAKRISHNA,JAMSHEDPUR,894,267,,,,https://manjulindia.com/telugu.html
TEL,శ్రీ ధక్షిణ మూర్తి స్తోత్రము,SREE DHAKSINA MURTHI STHOTHRAMU,SANKARAACHAARYA,AANDHRA GRNADHAALAYAM,BEJAVADA,294,131,,,,https://manjulindia.com/telugu.html
TEL,కూర్మనాధ కృతులు,KURMANADHA KRUTHULU,KURMANADHA KAVI,AANDHRAVIGNANA SAMITHI,VIJAYANAGARAMU,894,154,,,,https://manjulindia.com/telugu.html
TEL,శ్రీ రామనవమి వ్యాసతోరణం,SRI RAMANAVAMI VYASATHORANAM,MALAYAVASINI,AANDRA శేష SHESHAGIRIRAO,VISAKHAPATANAM 17,894,144,,,,https://manjulindia.com/telugu.html
TEL,పుట్టప్ప కధ కన్నడ మహాకవి,PUTTAPA KADHA KANNADA MAHAKAVI,CHENNAPPA S,AARKAVALI PRAKASAN,MYSORE-9,894,31,1916,,,https://manjulindia.com/telugu.html
TEL,నవనీతము 1.2. బాగములు,NAVANEETAMU 1.2. BAAGAMULU,VENKATASUBRAHMANYADEEKSHITULU KALLURI,AARSHA BHARATHI PRACHURANALU,KOTHAGUDEM,294,83,,,,https://manjulindia.com/telugu.html
TEL,శ్రీహరి స్తుతి వైజయంతి (శ్రీ హాసేశయ ప్రభంధ చతుశ్కము ) 3 వ భాగము,SRIHARI STUTHI VYJAYANTI SRI HASESAYA PRABANDA CHATUSHKAMU 3,SRINIVASACHARYULU NALLADEEGA,AARSHA KALABHARATHI,SECUNDERABAD,894,344,,,,https://manjulindia.com/telugu.html
TEL,సిరిమాల చరిత్రము,SIRIMAALA CHARITRAMU,BASAVASANKARA CHADUVULA,AARULA CHENNAMALLAYAH,REPALLI,894,31,1916,,,https://manjulindia.com/telugu.html
TEL,అహల్య భాయి,AHALYA BHAI,చిలకమర్తి లక్ష్మినరసింహము LAKSHMINARASIMHAMU CHILAKAMARTHI,AARUPATHIVENKATESWARA BOOK DIPO,RAJAHMUNDRY,894,152,,,,https://manjulindia.com/telugu.html
TEL,తిమ్మరు సుమండ్ర,TIMMARU SUMANDRA,VEERABADRA RAO BILLUKURI,AARYAPUSTAKALAYAM,RAJAHMUNDRY,923,155,,,,https://manjulindia.com/telugu.html
TEL,భారత పద్య శైలి,BHARATA PADYASAILI,MASTAN REDDY CHEREDDY,AASILATHI PRACHURNA,NARASARAOPETA,894,638,,,,https://manjulindia.com/telugu.html
TEL,గోవిందా రామాయణం ఉత్తర రామచరిత్ర,GOVINDA RAMAYANAM UTTARA RAMACHARITRA,GOVINDACHARYA ATMAKURI,AATMAKURI GANDHI,SECENDRABAD,894,132,,,,https://manjulindia.com/telugu.html
TEL,శ్రీ సద్గురు సాయి స్మరణం,SRI SADGURU SAI SMARANAM,BALAKRISHNA VV,AB SOMYA,NEW DELHI,294,392,,,,https://manjulindia.com/telugu.html
TEL,భూమి ప్రజలు చరిత్ర,BHUMI PRAJALU CHARITRA,HELF MAS S,ABALA SARASWATHI BOOK DIPO,KARNOOL,910,157,,,,https://manjulindia.com/telugu.html
TEL,నూతిలో గొంతుకలు,NUTHILO GONTHUKALU,BAIRAGI,ABC PRACHURANALU,HYDERABAD,894,47,1938,,,https://manjulindia.com/telugu.html
TEL,చీకటి నీడలు,CHEEKATI NEEDALU,BAIRAGI,ABC PRACHURANALU,HYDERABAD,894,54,1950,,,https://manjulindia.com/telugu.html
TEL,చిల్డ్రన్ ఇంగ్లీష్ స్పీకింగ్ కోర్సు,CHILDREN ENGLISH SPEAKING COURSE,DAYANANDA ALAMURI,ABC PUBLICATIONS,ANANTAPUR,425,221,,,,https://manjulindia.com/telugu.html
TEL,తెలుగుసాహిత్యం ముస్లింలసేవ,TELUGUSAHITYAM MUSLIMLA SEVA,SHEK MASTAN,ABDHUL SATTAR,GUNTUR,894,350,,,,https://manjulindia.com/telugu.html
TEL,బాలల శబ్ధరత్నాకరం,BALALA SABDHARATNAKARAM,KOORPARI THUDHUTI DHONAPPA,ABHINANADANA PUBLISHERS,VIJAYAWADA 2,894,172,,,,https://manjulindia.com/telugu.html
TEL,జానపద కళా సంపద,JANAPADA KALA SAMPADA,DONAPPA TUMATI,ABHINANADANA SAMITI,HYDERA BAD,784,208,,,,https://manjulindia.com/telugu.html
TEL,అమరేంధీర,AMARENDHIRA,RAMARAJU VAMSI,ABHINANDANA,HYDERA BAD,923,64,1967,,,https://manjulindia.com/telugu.html
TEL,కొత్త కథ,KOTTA KATHA,BHAVANI SARATH,ABHINANDANA,HYDERA BAD,894,120,,,,https://manjulindia.com/telugu.html
TEL,లత,LATHA,చిలుకూరి రమాదేవి RAMADEVI CHERUKURI,ABHINANDANA PUBLICATIONS,VIJAYAWADA,894,219,,,,https://manjulindia.com/telugu.html
TEL,బాలల విజ్ఞాన సర్వస్వం,BALALA VIGNANA SARVASVAMU,SUBBARAYAN BUDDIGA,ABHINANDANA PUBLICATIONS,VIJAYAWADA,894,360,,,,https://manjulindia.com/telugu.html
TEL,భాషా చారిత్రక వ్యాసావళి,BHASHA CHARITRAKA VYASAAVALI,DONAPPA TUMATI,ABHINANDANA SAMITHI,HYDERA BAD,894,352,,,,https://manjulindia.com/telugu.html
TEL,వైకృతపద స్వరూపనిరూపణం,VAIKRUTA PADA SWARUPANIRUPANAM,DONAPPA TUMATI,ABHINANDANA SAMITHI,HYDERA BAD,894,740,,,,https://manjulindia.com/telugu.html
TEL,తెలుగు ఛందస్సు పై కొన్ని వెలుగులు,TELUGU CHANDASSU PAI KONNI VELUGULU,KOVELA,ABHINAVA PRACHURANA,VARANGAL,894,165,,,,https://manjulindia.com/telugu.html
TEL,ధ్రువతార,DHRUVATHAARA,రావినూతల శ్రీరాములు SRIRAMULU RAVINUTALA,ABHINAVA PRACHURANALU,HYDEARABAD,923,55,1951,,,https://manjulindia.com/telugu.html
TEL,ఛందో భూమికలు,CHANDHO BHUMIKALU,సంపత్ SAMPATHKUMACHARYA KOVELA,ABHINAVA PRACHURANALU,HYDEARABAD,894,168,,,,https://manjulindia.com/telugu.html
TEL,హరి వినోదము,HARI VINODAMU,కవికోదల వెంకటరావు VENKATARAO KAVIKODALA,ABHINAVANDHRA KARNASTANAM,RAJAHMUNDRY,894,125,,,,https://manjulindia.com/telugu.html
TEL,మూడు జాతీయ నాటికలు,MUDU JATIYA NATIKALU,CHIRANJEEVE K,ABHYUDAAY RACHAITALA SANGHAM,HYDERABAD,894,102,,,,https://manjulindia.com/telugu.html
TEL,జప్తు,JAPTU,VISWANADHAREDDY KETHU,ABHYUDAYA RACHAYITALA SANGHAM,KADAPA`,894,134,,,,https://manjulindia.com/telugu.html
TEL,వివాహము-నేడు రేపు,VIVAHAMU-NEDU REPU,SUBBAMMA MALLADI,ABHYUDAYA VIVAHA VEDIKA,HYDERABAD,306,159,,,,https://manjulindia.com/telugu.html
TEL,తెనుగు తోట,TENUGU TOTA,రాయప్రోలు సుబ్బారావు SUBBARAO RAYAPROLU,ABINAVA KAVITA MANDALI,మద్రాస్,894,32,1919,,,https://manjulindia.com/telugu.html
TEL,నా పవిత్ర భూమి,NA PAVITRA BHUMI,SHEK BHASIM,ABISHEK PRACHURANALU,HYDERA BAD,894,44,1935,,,https://manjulindia.com/telugu.html
TEL,వస్తు గుణ దీపిక,VASTU GUNA DEEPIKA,VENKATASWAMI ERRA,ABS PUBLISHERS,RAJAHMUNDRY,615,1143,,,,https://manjulindia.com/telugu.html
TEL,సంగమిత్ర,SANGAMITRA,KOTESWARAMMA KONDAPALLI,ABYUDAYA RACHAYETALA SAMGAM,VIJAYAWADA,894,135,,,,https://manjulindia.com/telugu.html
TEL,తెలుగునవలలో సామాజికచైతన్యం,TELUGU NAVALALO SAMAJIKA CHAITANYAM,SANJEEVAMMA P,ABYUDAYA RACHITALA SANGHAM,KADAPA,793,179,,,,https://manjulindia.com/telugu.html
TEL,వివాహం సంతానం కోసమేనా,VIVAHAM SANTANAM KOSAMENA,SUBBAMMA MAALLDI,ABYUDAYA VIVAHA VEDHIKA,HYDERA BAD,304,99,,,,https://manjulindia.com/telugu.html
TEL,వివాహం నేడు రేపు,VIVAHAM NEDU REPU,SUBBAMMA MALLADHI,ABYUDAYA VIVAHA VEDHIKA,HYDERA BAD,894,159,,,,https://manjulindia.com/telugu.html
TEL,ఆంధ్ర శృతి geetalu,ANDHRA SRUTIGEETALU,మిన్నికంటి గురునాధశర్మ GURUNADASHARMA MINNIKANTI,ACHANTASITARAMAYYA,GUNTUR,894,78,1995,,,https://manjulindia.com/telugu.html
TEL,శ్రీ పురిని వంశవతరణము,SRI PURINI VAMSAVATARANAMU,BASAVALINGA BHAGAVATULA BALLA,ACHHANNA GARU,VISAKHAPATANAM,894,56,1955,,,https://manjulindia.com/telugu.html
TEL,ముగింగ్స్ 2,MUGINGS 2,చలం CHALAM,ACHISAARIKOU GRANDHAMAALA,MACHILEEPATNAM,894,102,,,,https://manjulindia.com/telugu.html
TEL,శిష్ట సాహిత్యంలో జనపధధోరణులు,SISHTA SAHITHYAMLO JANAPADADHORANULU,BHRAHMANANDA HS,ACHRYA HS,ANANTAPURAM,894,192,,,,https://manjulindia.com/telugu.html
TEL,అరుణ కిరణాలు వచన కవితా సంపుటి,ARUNA KIRANALU VACHANA KAVITA SAMPUTI,PARVATI ADAVIKOLANU,ADALI KOLANU PARVATI,TENALI,894,55,1952,,,https://manjulindia.com/telugu.html
TEL,అతిరధులు,ATHIRADHULU,RAMAKRISHNA ADAPA,ADAPA RAMAKRISHNA,DONDAPARTHI,894,150,,,,https://manjulindia.com/telugu.html
TEL,కథాంజలి,KATHANJALIL,RAMAKRISHNA AKKA,ADAPARAJU KRISHNA,VISAKHAPATANAM,894,100,,,,https://manjulindia.com/telugu.html
TEL,విజ్ఞానం అంటే ?,VIGNANAM ANTE,BHANUMURTHI VEMARAJU,ADARSA GANDHAMANDALI,VIJA`YAWADA,500,48,1945,,,https://manjulindia.com/telugu.html
TEL,శరత్ లేఖలు,SARATH LEKHALU,SARATH,ADARSA GANDHAMANDALI,VIJAYAWADA,891,144,,,,https://manjulindia.com/telugu.html
TEL,వల్లభ మంత్రి,VALLABHA MANTHRI,విశ్వనాథ్ సత్యనారాయణ SATYANARAYANA VISHAWANATH,ADARSA GANDHAMANDALI,VIJAYA WADA,894,224,,,,https://manjulindia.com/telugu.html
TEL,తల్లి బిడ్డ,TALLI BIDDA,దరిశి సుభద్రమ్మ SUBHADRAMMA DARISI,ADARSA GRANDA MALA,VIJAYAWADA,894,148,,,,https://manjulindia.com/telugu.html
TEL,ఆల్బర్ట్ స్వైజర్ ఆత్మకథ,ALBERT SWAIJAR ATMAKATHA,SRINIVASA CHAKRAVARHI,ADARSA GRANDA MALA,VIJAYAWADA,894,223,,,,https://manjulindia.com/telugu.html
TEL,కధవాహిని 1,KADHAVAHINI 1,పాలగుమ్మ పద్మరాజు PADMARAJU PALAGUMMA,ADARSA GRANDA MANDALI,VIJAYA VADA,894,98,,,,https://manjulindia.com/telugu.html
TEL,తంతులు (సాంఘిక నాటకం),TATANTULU (SANGHIKANATAKAM),వేదాంతకవి VEDANTAKAVI,ADARSA GRANDA MANDALI,VIJA`YAWADA,894,103,,,,https://manjulindia.com/telugu.html
TEL,మానవ యంత్రం,MANAVA YANTRAM,ముదిగంటి జగ్గన్నశాస్త్రి JAGGANNA SASTRY MUDIGANTI,ADARSA GRANDA MANDALI,VIJAYA WADA,610,107,,,,https://manjulindia.com/telugu.html
